id,molecule_id,assay_id,endpoint_name,endpoint_category,measured_value,measured_unit,direction,significance_label,is_observed_experimental,source_document_id,source_location,evidence_grade
759,986,1036,hepatotoxicity,hepatic,,,no significant change,not significant,1,4787,PubMed abstract,B
812,986,1089,hepatotoxicity,hepatic,,,no significant change,not significant,1,1014,PubMed abstract,B
813,599,1090,hepatotoxicity,hepatic,,,increased,,1,1161,PubMed abstract,C
819,986,1096,hepatotoxicity,hepatic,,,increased,,1,1842,PubMed abstract,B
829,985,1106,hepatotoxicity,hepatic,,,,,1,3789,PubMed abstract,C
830,985,1107,hepatotoxicity,hepatic,,,decreased,,1,3790,PubMed abstract,B
903,985,1180,hepatotoxicity,hepatic,,,increased,,1,1166,PubMed abstract,B
905,985,1182,hepatotoxicity,hepatic,,,no significant change,not significant,1,4042,PubMed abstract,B
909,619,1186,hepatotoxicity,hepatic,,,no significant change,not significant,1,12017,PubMed abstract,B
947,1096,1224,hepatotoxicity,hepatic,,,increased,,1,2807,PubMed abstract,C
950,299,1227,hepatotoxicity,hepatic,,,increased,,1,15203,PubMed abstract,B
952,631,1229,cell viability/cytotoxicity,general safety,,,,,1,4257,PubMed abstract sentence 5,C
958,633,1235,cell viability/cytotoxicity,general safety,,,,,1,1213,Materials and methods > Cell viability assay; paragraph 31,B
966,1055,1243,hepatotoxicity,hepatic,,,no significant change,not significant,1,1776,Results > Evaluation of the Toxicity and Safety of IVSA‐siRNA Targeting MSTN; paragraph 28,A
969,1056,1246,hepatotoxicity,hepatic,,,,,1,3251,"Results > IC50, time course, and viability analysis; paragraph 10",A
974,994,1251,hepatotoxicity,hepatic,,,decreased,,1,3301,Results > S9-SNA ameliorated the phenotype of SBMA mice; paragraph 12,A
1039,1057,1316,hepatotoxicity,hepatic,,,increased,,1,1497,Results > Alkyl phosphonate at positions 6–7 enhances the therapeutic profile and reduces hepatotoxicity of Ttr and Marc1 siRNAs; paragraph 65,A
1043,986,1320,thrombocytopenia,hematological,,,no significant change,not significant,1,1828,Abstract > Results:; paragraph 3,A
1057,652,1334,toxicity,general toxicity,,,no significant change,not significant,1,3701,RESULTS > Lead MECP2-targeting siRNAs tune MECP2 levels in wildtype mice for up to four months; paragraph 16,A
1060,652,1337,systemic safety/tolerability,general safety,,,increased,,1,3717,RESULTS > Single injection of non-isoform selective 1764_S1 but not E1 selective 112_S1 induces mixed behavioral effects in Tg1 mice; paragraph 36,A
1083,660,1360,hepatotoxicity,hepatic,,,,,1,8415,Methods > Lactate dehydrogenase cytotoxicity assay; paragraph 31,A
1087,985,1364,cell viability/cytotoxicity,general safety,,,increased,,1,8595,Results and Discussion > Uptake and Conditional Gene Silencing in 3D Spheroids; paragraph 19,C
1117,986,1394,hepatotoxicity,hepatic,,,no significant change,not significant,1,10025,Results > Stk25-Targeting ASO Therapy Hinders the Development and Progression of MASH-Related HCC in a Mouse Model; paragraph 16,A
1124,600,1401,hepatotoxicity,hepatic,,,,,1,10126,Results and Discussion > Gene Silencing Effects of the ASO/CDs; paragraph 39,C
1131,985,1408,renal safety,renal,,,no significant change,not significant,1,12392,2. Results > 2.7. In Vivo Anticancer Activity and Safety Evaluation; paragraph 16,A
1141,1058,1418,hepatotoxicity,hepatic,,,decreased,,1,13436,Results > Construction and characterization of the BRCA primary cell-derived engineered exosomes; paragraph 14,A
